host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
33%,N/A,1,Washington,DC,20001,38.91409,-77.02484,4,2,2,1,$150.00 ,,$75.00 ,2,30,7,Entire home/apt
100%,N/A,2,Washington,DC,20016,38.95126,-77.08569,4,2.5,3,3,$188.00 ,$500.00 ,$50.00 ,2,365,8,Entire home/apt
90%,N/A,1,Washington,DC,20011,38.94934,-77.02295,2,1,,1,$85.00 ,$0.00 ,$45.00 ,5,31,103,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.915,-77.03853,2,1,1,1,$135.00 ,$400.00 ,$75.00 ,3,365,29,Entire home/apt
70%,N/A,2,Washington,DC,20020,38.86239,-76.98811,4,1,1,2,$72.00 ,,,1,365,80,Private room
100%,N/A,5,Washington,DC,20011,38.94437,-77.04345,1,1,1,1,$49.00 ,$0.00 ,$50.00 ,30,10000,35,Private room
100%,N/A,2,Washington,DC,20011,38.96648,-77.03228,2,1,1,2,$58.00 ,$0.00 ,$25.00 ,3,21,131,Private room
N/A,N/A,2,Washington,DC,20016,38.9232,-77.10166,2,1,1,1,$80.00 ,$250.00 ,$50.00 ,3,365,18,Private room
100%,N/A,3,Washington,DC,20020,38.86427,-76.98934,2,1,1,1,$75.00 ,,,2,1125,37,Private room
N/A,N/A,1,Washington,DC,20003,38.87859,-76.98519,2,1,1,1,$120.00 ,$100.00 ,$75.00 ,4,365,124,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.90831,-77.02364,4,1,2,2,$110.00 ,$400.00 ,$95.00 ,4,365,177,Entire home/apt
0%,N/A,2,Washington,DC,20011,38.96234,-77.01735,1,1.5,1,4,$64.00 ,$199.00 ,$89.00 ,1,730,0,Private room
100%,N/A,1,Washington,DC,20009,38.92009,-77.04137,4,2,2,2,$250.00 ,$950.00 ,$135.00 ,4,14,80,Entire home/apt
100%,N/A,2,Washington,DC,20016,38.95173,-77.08628,1,1,1,1,$80.00 ,$0.00 ,$75.00 ,2,14,41,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91314,-77.04431,1,1,1,0,$100.00 ,"$1,000.00 ",$100.00 ,120,360,7,Entire home/apt
N/A,N/A,1,Washington,DC,20019,38.88359,-76.92951,2,1,1,1,$59.00 ,,,1,730,0,Private room
100%,N/A,1,Washington,DC,20001,38.90123,-77.01752,4,1.5,1,2,$149.00 ,$200.00 ,$79.00 ,2,730,377,Entire home/apt
100%,N/A,1,Washington,DC,20012,38.96995,-77.01984,3,1,0,2,$99.00 ,$100.00 ,$60.00 ,2,1825,5,Entire home/apt
27%,N/A,3,Washington,DC,20001,38.93404,-77.01488,2,1.5,1,1,$65.00 ,,$10.00 ,1,365,131,Private room
100%,N/A,2,Washington,DC,20001,38.90962,-77.01017,1,1,1,1,$50.00 ,"$1,000.00 ",$100.00 ,3,250,36,Private room
,,,Washington,DC,20012,38.97291,-77.02063,2,1,1,2,$90.00 ,,,1,730,157,Entire home/apt
100%,N/A,1,Washington,DC,20032,38.82771,-76.99404,2,1,1,1,$35.00 ,$200.00 ,$99.00 ,28,365,113,Private room
100%,N/A,1,Washington,DC,20011,38.9581,-77.02271,6,3,3,2,$199.00 ,$500.00 ,$99.00 ,4,60,13,Entire home/apt
100%,N/A,4,Washington,DC,20012,38.98897,-77.04529,2,1.5,1,1,$86.00 ,$300.00 ,$125.00 ,2,3365,6,Private room
100%,N/A,5,Washington,DC,20011,38.94363,-77.04562,4,1.5,1,1,$109.00 ,,$25.00 ,1,1125,117,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88535,-76.98183,3,1,1,1,$78.00 ,$149.00 ,$0.00 ,2,120,376,Entire home/apt
100%,N/A,4,Washington,DC,20012,38.9889,-77.0455,3,1.5,1,2,$86.00 ,$300.00 ,$125.00 ,2,3365,1,Private room
100%,N/A,4,Washington,DC,20012,38.98787,-77.04416,2,1.5,1,1,$86.00 ,$300.00 ,$125.00 ,2,1825,5,Private room
100%,N/A,4,Washington,DC,20012,38.98913,-77.04467,2,1.5,1,1,$74.00 ,$300.00 ,$125.00 ,2,1000,8,Private room
100%,N/A,2,Washington,DC,20020,38.8587,-76.98736,2,1,1,2,$90.00 ,$300.00 ,$60.00 ,5,365,8,Private room
100%,N/A,1,Washington,DC,20012,38.96703,-77.00426,2,1,1,1,$58.00 ,$250.00 ,$35.00 ,150,1000,32,Private room
100%,N/A,3,Washington,DC,20002,38.89661,-76.98703,2,1,1,1,$77.00 ,$0.00 ,$35.00 ,2,30,699,Private room
100%,N/A,2,Washington,DC,20007,38.91365,-77.06975,1,1,1,1,$125.00 ,,$125.00 ,2,14,37,Private room
100%,N/A,8,Washington,DC,20009,38.92499,-77.02831,1,1,1,1,$55.00 ,$0.00 ,$20.00 ,3,365,83,Private room
100%,N/A,3,Washington,DC,20002,38.9137,-77.00232,4,1,2,2,$160.00 ,$200.00 ,$30.00 ,1,7,11,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.91613,-77.03572,6,2,3,3,$280.00 ,$650.00 ,$145.00 ,2,28,33,Entire home/apt
60%,N/A,1,Washington,DC,20010,38.93107,-77.03885,6,1,1,1,$145.00 ,$500.00 ,$100.00 ,2,1125,67,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.90968,-77.02747,4,1,2,2,$150.00 ,$100.00 ,$50.00 ,2,14,131,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91452,-77.03554,4,1,1,1,$149.00 ,$150.00 ,,3,1125,53,Entire home/apt
100%,N/A,2,Washington,DC,20012,38.98123,-77.02885,2,1.5,1,1,$85.00 ,,,1,90,19,Private room
N/A,N/A,1,Washington,DC,20009,38.91984,-77.04481,3,1,1,2,$95.00 ,$250.00 ,$60.00 ,21,700,33,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94226,-77.01665,4,1,1,1,$109.00 ,$125.00 ,$39.00 ,3,130,139,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91662,-77.02539,2,1,1,1,$120.00 ,$100.00 ,$50.00 ,2,180,163,Entire home/apt
100%,N/A,3,Washington,DC,20009,38.92413,-77.02878,2,2,1,1,$65.00 ,$175.00 ,$25.00 ,1,21,408,Private room
100%,N/A,2,Washington,DC,20020,38.85618,-76.98689,2,1,1,2,$90.00 ,$300.00 ,$60.00 ,5,365,2,Private room
100%,N/A,2,Washington,DC,20012,38.98052,-77.02992,3,,1,1,$75.00 ,,,1,90,7,Private room
100%,N/A,2,Washington,DC,20011,38.93913,-77.01881,6,1,1,3,$83.00 ,$350.00 ,$60.00 ,1,330,197,Entire home/apt
N/A,N/A,1,Washington,DC,20003,38.88212,-76.99944,4,1,1,2,$140.00 ,$200.00 ,$50.00 ,1,1125,135,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.89994,-77.00106,3,2,2,2,$125.00 ,,,5,1125,0,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.90065,-77.00129,3,2,2,2,$100.00 ,$300.00 ,$250.00 ,30,240,1,Entire home/apt
50%,N/A,6,Washington,DC,20007,38.91416,-77.07027,2,1,1,1,$139.00 ,$0.00 ,$105.00 ,3,300,24,Private room
100%,N/A,1,Washington,DC,20019,38.89057,-76.93442,6,1,2,2,$75.00 ,$0.00 ,$75.00 ,3,365,109,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88513,-77.00384,3,1,1,1,$125.00 ,$250.00 ,$70.00 ,2,90,128,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88394,-76.98212,5,1.5,3,3,$175.00 ,$299.00 ,$60.00 ,2,365,162,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.89,-76.99466,4,1,1,2,$175.00 ,$100.00 ,$80.00 ,3,29,232,Entire home/apt
100%,N/A,3,Washington,DC,20001,38.911,-77.02074,6,1,1,1,$139.00 ,,$70.00 ,2,1125,395,Entire home/apt
100%,N/A,4,Washington,DC,20003,38.88277,-76.99404,5,1,1,3,$188.00 ,$400.00 ,$45.00 ,1,180,499,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.91463,-77.01795,4,,1,1,$99.00 ,$150.00 ,$75.00 ,20,300,54,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.91973,-77.01392,2,1,2,2,$149.00 ,$500.00 ,$120.00 ,10,270,14,Entire home/apt
100%,N/A,2,Washington,DC,20020,38.86124,-76.98865,2,2,1,1,$60.00 ,,,2,120,103,Private room
100%,N/A,3,Washington,DC,20002,38.89533,-76.98797,6,2.5,3,3,$275.00 ,$500.00 ,$100.00 ,3,21,5,Entire home/apt
100%,N/A,2,Washington,DC,20012,38.96816,-77.01988,2,1,1,1,$45.00 ,,$15.00 ,1,1125,136,Private room
100%,N/A,1,Washington,DC,20003,38.87995,-76.98545,5,2,2,3,$159.00 ,$100.00 ,$112.00 ,4,180,264,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.8954,-76.98694,2,1,1,1,$89.00 ,,,2,60,785,Entire home/apt
100%,N/A,1,Washington,DC,20008,38.92859,-77.05629,2,1,1,1,$162.00 ,$250.00 ,$125.00 ,1,10,86,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.91614,-77.01637,6,1.5,2,2,$225.00 ,$300.00 ,$95.00 ,2,1125,43,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.96644,-77.03348,2,2,2,2,$98.00 ,$750.00 ,$150.00 ,5,89,2,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.91255,-77.01999,2,1,1,1,$72.00 ,$200.00 ,$40.00 ,2,1125,30,Private room
100%,N/A,2,Washington,DC,20009,38.91516,-77.02953,7,2.5,3,4,$490.00 ,"$1,000.00 ",$250.00 ,3,60,22,Entire home/apt
50%,N/A,2,Washington,DC,20008,38.93809,-77.06003,2,1,1,1,$98.00 ,$0.00 ,$50.00 ,5,120,13,Private room
100%,N/A,2,"Capitol Hill, Washington",DC,20003,38.8814,-76.98874,4,1,1,1,$85.00 ,$250.00 ,$85.00 ,2,30,193,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92671,-77.03972,2,1,1,1,$125.00 ,,$50.00 ,3,1125,0,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89884,-76.9973,5,1.5,2,2,$125.00 ,,,4,1124,8,Entire home/apt
N/A,N/A,1,Washington,DC,20003,38.88753,-76.99453,2,1,1,1,$145.00 ,$500.00 ,$75.00 ,1,730,28,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91236,-77.03178,6,2.5,3,4,$300.00 ,,$150.00 ,30,1125,28,Entire home/apt
27%,N/A,3,Washington,DC,20001,38.92973,-77.01939,2,2.5,1,1,$65.00 ,,$10.00 ,1,365,127,Private room
100%,N/A,5,Washington,DC,20011,38.94314,-77.04345,2,1,1,1,$59.00 ,,$25.00 ,30,10000,22,Private room
97%,N/A,3,Washington,DC,20002,38.91101,-77.00776,6,1,1,4,$102.00 ,$100.00 ,$80.00 ,2,20,289,Entire home/apt
100%,N/A,56,Washington,DC,20008,38.92481,-77.05252,2,1,0,1,$115.00 ,$0.00 ,$100.00 ,20,1122,10,Entire home/apt
N/A,N/A,3,Washington,DC,20001,38.91775,-77.01571,1,1,1,1,$33.00 ,,,3,4,25,Shared room
100%,N/A,1,Washington,DC,20008,38.93487,-77.0647,16,4.5,6,10,$595.00 ,$750.00 ,$180.00 ,4,14,15,Entire home/apt
100%,N/A,56,Washington,DC,20037,38.90317,-77.05076,2,1,0,1,$129.00 ,$0.00 ,$150.00 ,29,900,13,Entire home/apt
100%,N/A,3,Washington,DC,20009,38.92414,-77.0285,2,2,1,1,$60.00 ,$175.00 ,$25.00 ,1,21,391,Private room
100%,N/A,4,Washington,DC,20007,38.91528,-77.0745,1,1,1,1,$65.00 ,,$10.00 ,28,1125,36,Private room
100%,N/A,4,Washington,DC,20007,38.91426,-77.07579,2,1,1,1,$65.00 ,,$10.00 ,6,1125,6,Private room
N/A,N/A,2,Washington,DC,20003,38.8817,-76.98696,1,1,1,1,$35.00 ,$500.00 ,$45.00 ,2,180,11,Private room
N/A,N/A,1,Washington,DC,20008,38.94935,-77.05946,2,,1,,$190.00 ,,,2,14,0,Private room
N/A,N/A,1,Washington,DC,20009,38.9225,-77.03322,1,1,1,1,$120.00 ,$300.00 ,$50.00 ,3,30,3,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.95802,-77.02202,4,1,1,1,$79.00 ,$150.00 ,$0.00 ,2,1125,155,Entire home/apt
