host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
N/A,N/A,1,Washington,DC,20009,38.9118,-77.04609,2,4,1,1,$75.00 ,,$20.00 ,6,1125,1,Private room
100%,N/A,1,Washington,DC,20002,38.89591,-76.9743,3,1,0,2,$115.00 ,$0.00 ,$40.00 ,2,1125,18,Entire home/apt
100%,N/A,1,Washington,DC,20018,38.92659,-76.97658,5,1,2,4,$122.00 ,$0.00 ,$50.00 ,3,21,352,Entire home/apt
100%,N/A,1,Washington,DC,20017,38.94966,-76.99493,4,1,1,3,$40.00 ,$200.00 ,$40.00 ,2,14,102,Private room
N/A,N/A,1,Washington,DC,20009,38.91784,-77.03803,3,1,1,1,$150.00 ,,$60.00 ,5,1125,2,Entire home/apt
50%,N/A,1,Washington,DC,,38.94277,-77.06201,2,1,1,1,$145.00 ,$300.00 ,$30.00 ,1,2,8,Entire home/apt
80%,N/A,0,Washington,DC,20001,38.90134,-77.0186,2,1,1,1,$248.00 ,$350.00 ,$65.00 ,1,1125,45,Entire home/apt
N/A,N/A,1,Washington,DC,20008,38.9347,-77.06178,2,1,1,1,$89.00 ,,$25.00 ,2,23,24,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.91916,-77.07427,2,1,1,1,$65.00 ,$0.00 ,$25.00 ,1,7,103,Entire home/apt
100%,N/A,4,Washington,DC,20016,38.9444,-77.07478,2,1,0,1,$155.00 ,$500.00 ,$50.00 ,4,365,65,Entire home/apt
N/A,N/A,1,Washington,DC,20037,38.90395,-77.05171,2,1,0,1,$110.00 ,,,1,1125,1,Entire home/apt
N/A,N/A,2,Washington,DC,20007,38.92331,-77.08117,2,1,1,1,$200.00 ,,,1,1125,0,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90467,-76.97681,4,1,2,2,$94.00 ,$0.00 ,$49.00 ,1,120,175,Entire home/apt
N/A,N/A,1,Washington,DC,20003,38.88853,-76.98535,9,2,4,7,$300.00 ,$200.00 ,$105.00 ,3,1125,47,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.91705,-77.0121,6,1,2,3,$89.00 ,$100.00 ,$75.00 ,1,14,199,Entire home/apt
100%,N/A,1,Washington,DC,20019,38.88087,-76.94059,3,1,0,1,$30.00 ,$0.00 ,$20.00 ,1,10,114,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88397,-76.9782,4,1,1,2,$120.00 ,$150.00 ,$50.00 ,3,90,100,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.90109,-77.02335,5,2,2,2,$300.00 ,$350.00 ,$150.00 ,3,365,148,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89514,-76.99652,2,1,1,1,$82.00 ,$100.00 ,$6.00 ,1,3,164,Private room
N/A,N/A,1,Washington,DC,20037,38.89733,-77.05126,4,1,1,3,$450.00 ,,$150.00 ,3,9,2,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.91155,-77.06433,4,1,0,2,$110.00 ,$150.00 ,$80.00 ,2,34,151,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.91902,-77.00025,6,1,1,2,$88.00 ,,,30,30,92,Private room
95%,N/A,4,Washington,DC,20011,38.95502,-77.00986,4,2.5,2,2,$160.00 ,"$1,000.00 ",$110.00 ,2,1125,173,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92059,-77.03407,2,1,1,2,$89.00 ,$100.00 ,$50.00 ,1,28,109,Entire home/apt
N/A,N/A,2,Washington,DC,20019,38.88624,-76.9304,1,1,1,1,"$1,300.00 ",,$60.00 ,1,1125,0,Private room
100%,N/A,1,Washington,DC,20011,38.94143,-77.01799,4,1,1,2,$89.00 ,$0.00 ,$55.00 ,3,30,98,Entire home/apt
80%,N/A,4,Washington,DC,20019,38.89377,-76.91314,2,1.5,1,1,$55.00 ,$125.00 ,$90.00 ,1,1125,2,Private room
80%,N/A,4,Washington,DC,20019,38.8923,-76.91462,6,2.5,1,4,$60.00 ,$100.00 ,$40.00 ,1,1125,0,Shared room
N/A,N/A,1,Washington,DC,20009,38.91658,-77.0442,2,1,1,1,$40.00 ,,,7,14,0,Private room
100%,N/A,1,Washington,DC,20003,38.88135,-76.98569,4,1,2,1,$125.00 ,$100.00 ,$75.00 ,1,1125,185,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.89058,-76.99622,3,1,0,1,$225.00 ,$0.00 ,$50.00 ,2,90,77,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.92045,-77.00274,4,1,2,2,$79.00 ,,$50.00 ,2,28,66,Private room
100%,N/A,8,Washington,DC,20001,38.91514,-77.01568,3,1,1,2,$85.00 ,$400.00 ,$65.00 ,3,1125,12,Private room
N/A,N/A,2,Washington,DC,20010,38.9329,-77.04386,2,1,1,1,$75.00 ,,,2,1125,25,Private room
100%,N/A,2,Washington,DC,20001,38.91661,-77.02796,4,1,1,2,$165.00 ,$100.00 ,$85.00 ,2,1125,77,Entire home/apt
N/A,N/A,2,Washington,DC,20010,38.93168,-77.04474,3,2,2,1,$99.00 ,$100.00 ,$85.00 ,2,1125,7,Entire home/apt
79%,N/A,44,Washington,DC,20010,38.93669,-77.0236,1,2,1,1,$39.00 ,,$20.00 ,5,365,8,Private room
79%,N/A,44,Washington,DC,20010,38.93823,-77.02386,1,2.5,1,0,$35.00 ,,$20.00 ,28,365,8,Private room
57%,N/A,6,Washington,DC,20003,38.88414,-76.99288,1,1,1,1,$115.00 ,$200.00 ,$100.00 ,30,120,4,Private room
0%,N/A,1,Washington,DC,20009,38.92274,-77.04569,4,2,2,2,$121.00 ,"$1,000.00 ",$200.00 ,90,600,5,Entire home/apt
100%,N/A,1,Washington,DC,20016,38.92993,-77.09985,6,1,1,5,$175.00 ,,$25.00 ,2,1125,158,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.91492,-77.08991,4,1,1,2,$150.00 ,$500.00 ,$100.00 ,2,30,9,Entire home/apt
88%,N/A,7,Washington,DC,20002,38.89561,-76.98935,6,1,1,3,$140.00 ,$250.00 ,$75.00 ,2,1125,56,Entire home/apt
N/A,N/A,1,Washington,DC,20036,38.90588,-77.04642,2,1,0,1,$125.00 ,,$25.00 ,2,28,0,Entire home/apt
100%,N/A,1,Washington,DC,,38.88939,-77.00234,3,1,2,1,$140.00 ,$200.00 ,$80.00 ,2,1125,79,Entire home/apt
100%,N/A,2,Washington,DC,20010,38.92946,-77.03826,6,1,1,3,$99.00 ,$500.00 ,$65.00 ,2,1125,143,Entire home/apt
100%,N/A,1,Washington,DC,20018,38.92846,-76.95705,1,1,1,1,$75.00 ,$100.00 ,$50.00 ,2,5,5,Private room
100%,N/A,2,Washington,DC,20015,38.96497,-77.06399,2,1,1,1,$60.00 ,$100.00 ,$35.00 ,1,1125,21,Private room
100%,N/A,8,Washington,DC,20001,38.91499,-77.0151,2,1,1,1,$85.00 ,$500.00 ,$65.00 ,1,1125,3,Private room
100%,N/A,8,Washington,DC,20001,38.91543,-77.0158,3,1,1,2,$85.00 ,$400.00 ,$65.00 ,1,1125,5,Private room
100%,N/A,8,Washington,DC,20001,38.91707,-77.01536,1,1,1,1,$65.00 ,$300.00 ,$65.00 ,2,1125,4,Shared room
100%,N/A,8,Washington,DC,20001,38.91708,-77.01533,2,1.5,1,1,$75.00 ,$400.00 ,$65.00 ,1,1125,17,Private room
100%,N/A,8,Washington,DC,20001,38.91551,-77.01553,1,1.5,1,1,$79.00 ,$0.00 ,$65.00 ,7,1125,1,Private room
N/A,N/A,1,Washington,DC,20010,38.9286,-77.02923,4,1,1,2,$106.00 ,$400.00 ,$20.00 ,3,120,50,Entire home/apt
N/A,N/A,1,Washington,DC,,38.88296,-77.02051,4,1,1,2,$199.00 ,,,2,1125,1,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92151,-77.03928,3,2,2,2,$150.00 ,"$2,500.00 ",,14,30,0,Entire home/apt
100%,N/A,5,Washington,DC,20012,38.96871,-77.02649,1,1,1,1,$60.00 ,$0.00 ,$35.00 ,1,1125,12,Private room
100%,N/A,2,Washington,DC,20007,38.92043,-77.07361,2,1,0,1,$118.00 ,$200.00 ,$40.00 ,2,6,93,Entire home/apt
N/A,N/A,0,Washington,DC,20011,38.94571,-77.03707,2,2.5,1,1,$75.00 ,$0.00 ,$50.00 ,2,1125,21,Private room
100%,N/A,3,Washington,DC,20009,38.91466,-77.04146,2,1,1,1,$145.00 ,$300.00 ,$65.00 ,4,1125,141,Entire home/apt
N/A,N/A,1,Washington,DC,20008,38.93729,-77.06176,4,1,1,2,$99.00 ,$350.00 ,$30.00 ,1,1125,147,Entire home/apt
N/A,N/A,1,Washington,DC,20024,38.88014,-77.01551,2,1,0,1,$119.00 ,,$20.00 ,1,1125,4,Entire home/apt
100%,N/A,40,Washington,DC,20009,38.91608,-77.03146,2,1,1,1,$110.00 ,,,2,21,22,Hotel room
100%,N/A,1,Washington,DC,20002,38.91164,-77.00847,2,1,1,2,$105.00 ,,$50.00 ,2,30,51,Entire home/apt
50%,N/A,2,Washington,DC,20009,38.92677,-77.03969,2,1,1,1,$58.00 ,$100.00 ,$30.00 ,7,1125,4,Private room
50%,N/A,2,Washington,DC,20009,38.92672,-77.04019,2,1,1,1,$51.00 ,$100.00 ,$35.00 ,7,1125,0,Shared room
100%,N/A,1,Washington,DC,20002,38.90068,-77.00222,6,2.5,3,4,$244.00 ,$300.00 ,$125.00 ,2,1125,40,Entire home/apt
,,,Washington,DC,20011,38.93851,-77.0244,2,1,1,1,$69.00 ,,,1,1125,2,Private room
100%,N/A,1,Washington,DC,20002,38.9106,-77.00662,4,1,1,2,$174.00 ,,$36.00 ,3,1125,70,Entire home/apt
97%,N/A,54,Washington,DC,20001,38.90568,-77.02335,5,1,1,3,$159.00 ,$0.00 ,$120.00 ,3,365,77,Entire home/apt
100%,N/A,3,Dupont Circle,DC,20009,38.91394,-77.04186,2,1,1,1,$238.00 ,$250.00 ,$100.00 ,2,1124,34,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.9357,-77.03226,4,1,1,2,$250.00 ,,,6,6,9,Entire home/apt
100%,N/A,6,Washington,DC,20018,38.91966,-76.98075,5,1,0,2,$90.00 ,$100.00 ,$50.00 ,3,1124,18,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.93991,-77.02716,3,1,1,1,$275.00 ,,$25.00 ,15,80,9,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91418,-77.04572,3,1,1,1,$95.00 ,$175.00 ,$75.00 ,3,30,37,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91667,-77.0301,3,1,1,2,$115.00 ,$0.00 ,$20.00 ,1,1125,413,Entire home/apt
N/A,N/A,3,Washington,DC,20037,38.90294,-77.04969,2,1,1,2,$120.00 ,,,1,1125,18,Shared room
83%,N/A,1,Washington,DC,20001,38.91552,-77.01035,2,1,0,1,$115.00 ,$150.00 ,,1,1125,543,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91284,-77.02025,4,2.5,2,2,$175.00 ,$450.00 ,$40.00 ,3,1125,4,Entire home/apt
100%,N/A,4,Washington,DC,20008,38.91469,-77.04663,4,1.5,1,1,$95.00 ,$0.00 ,$195.00 ,2,1124,25,Entire home/apt
100%,N/A,3,Washington,DC,20007-3413,38.90731,-77.06136,3,1,1,1,$145.00 ,$450.00 ,$95.00 ,3,30,77,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.8938,-77.00294,2,1,1,2,$225.00 ,$150.00 ,$75.00 ,3,14,7,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.9105,-77.02167,4,1,2,2,$175.00 ,,$80.00 ,2,1125,167,Entire home/apt
100%,N/A,23,Washington,DC,20009,38.91545,-77.0402,2,2.5,1,1,$95.00 ,$0.00 ,$70.00 ,3,720,15,Private room
100%,N/A,3,Washington,DC,20012,38.98264,-77.03825,2,1.5,1,1,$100.00 ,$200.00 ,,1,1125,21,Private room
100%,N/A,3,Washington,DC,20012,38.98271,-77.03861,2,1.5,1,1,$120.00 ,$400.00 ,$0.00 ,1,1125,27,Private room
75%,N/A,1,Washington,DC,20009,38.92219,-77.04587,3,1,1,1,$110.00 ,$500.00 ,$75.00 ,15,30,17,Entire home/apt
100%,N/A,3,Washington,DC,20012,38.98442,-77.0382,2,1.5,1,1,$80.00 ,$400.00 ,$0.00 ,1,1125,18,Private room
100%,N/A,2,Washington,DC,20011,38.93923,-77.03027,4,1,1,2,$99.00 ,$100.00 ,$60.00 ,2,1125,66,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88306,-76.97872,2,1,2,2,$225.00 ,$500.00 ,$0.00 ,2,7,36,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.95873,-77.02401,4,1,1,1,$80.00 ,$100.00 ,$70.00 ,5,1125,5,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.89093,-76.9932,5,1.5,2,2,$139.00 ,$150.00 ,$50.00 ,2,1125,322,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.91839,-77.02973,4,1,2,3,$251.00 ,$250.00 ,$100.00 ,2,1125,68,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91805,-77.04,2,1,1,1,$107.00 ,,,1,1125,16,Private room
100%,N/A,1,Washington,DC,20010,38.92963,-77.04119,2,1,1,1,$135.00 ,$300.00 ,$100.00 ,2,14,61,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92098,-77.0447,1,1,1,1,$50.00 ,,,7,20,0,Private room
N/A,N/A,1,Washington,DC,20002,38.9064,-77.00149,6,1,2,2,$890.00 ,,$5.00 ,2,1125,28,Entire home/apt
N/A,N/A,1,Washington,DC,20018,38.92964,-76.97977,4,1,1,1,$111.00 ,,$75.00 ,3,1125,114,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91392,-77.04083,2,1,1,1,$139.00 ,$250.00 ,$60.00 ,3,20,262,Entire home/apt
100%,N/A,56,Washington,DC,20008,38.92504,-77.05392,2,1,0,1,$129.00 ,$0.00 ,$100.00 ,28,500,14,Entire home/apt
100%,N/A,4,Washington,DC,20010,38.92902,-77.0181,3,1,1,2,$90.00 ,$100.00 ,$20.00 ,1,14,61,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91393,-77.01058,4,1,1,1,$278.00 ,,,1,3,5,Entire home/apt
100%,N/A,40,Washington,DC,20005,38.90836,-77.02815,3,1,1,2,$195.00 ,,,2,14,4,Hotel room
100%,N/A,40,Washington,DC,20005,38.90867,-77.02894,2,1,1,1,$185.00 ,,,2,14,9,Hotel room
100%,N/A,1,Washington,DC,20007,38.90887,-77.05642,7,2.5,3,5,$425.00 ,$400.00 ,$150.00 ,3,60,71,Entire home/apt
100%,N/A,40,Washington,DC,20009,38.91674,-77.03079,2,1,1,1,$155.00 ,,,2,14,9,Hotel room
100%,N/A,2,Washington,DC,20003,38.88076,-76.99768,4,1.5,2,2,$249.00 ,$495.00 ,$95.00 ,4,365,126,Entire home/apt
100%,N/A,0,Washington,DC,20001,38.90898,-77.0106,2,1,1,1,$78.00 ,$400.00 ,$85.00 ,1,1125,63,Private room
100%,N/A,1,Washington,DC,20002,38.92229,-77.00217,2,1,1,1,$85.00 ,$0.00 ,$45.00 ,3,25,238,Entire home/apt
100%,N/A,2,Washington,DC,20006,38.89758,-77.04369,2,1,1,1,$99.00 ,$100.00 ,$45.00 ,7,90,33,Entire home/apt
N/A,N/A,1,Washington,DC,20008,38.94524,-77.0622,2,1,1,1,$84.00 ,$100.00 ,,2,1125,148,Private room
N/A,N/A,1,Washington,DC,20009,38.92321,-77.03617,3,1,1,2,$135.00 ,,,2,1125,21,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93091,-77.0364,2,1,0,1,$58.00 ,$100.00 ,$10.00 ,1,1125,64,Private room
100%,N/A,14,Washington,DC,20007,38.90617,-77.06467,6,3,3,3,$429.00 ,$250.00 ,$150.00 ,2,90,119,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93152,-77.02017,2,1,1,1,$85.00 ,$100.00 ,$30.00 ,1,8,6,Private room
100%,N/A,2,Washington,DC,20032,38.83468,-76.99897,2,1,1,1,$65.00 ,,$35.00 ,2,14,30,Private room
N/A,N/A,2,Washington,DC,20010,38.937,-77.03311,2,1,0,1,$120.00 ,$300.00 ,$50.00 ,4,1125,8,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92319,-77.0431,2,1,1,2,$90.00 ,$0.00 ,$85.00 ,2,14,53,Entire home/apt
95%,N/A,1,Washington,DC,20002,38.91827,-77.00662,3,1,1,1,$79.00 ,,,2,30,368,Entire home/apt
100%,N/A,40,Washington,DC,20009,38.91676,-77.03171,2,1,1,1,$100.00 ,,,2,14,43,Hotel room
100%,N/A,4,Washington,DC,20001,38.90612,-77.01328,1,1.5,1,1,$49.00 ,$200.00 ,$20.00 ,1,1125,159,Private room
100%,N/A,23,Washington,DC,20009,38.91487,-77.04144,2,2.5,1,1,$103.00 ,$0.00 ,$70.00 ,1,715,14,Private room
100%,N/A,17,Washington,DC,20024,38.87146,-77.01294,4,2,1,1,$70.00 ,$200.00 ,$20.00 ,1,1125,320,Private room
N/A,N/A,1,Washington,DC,20011,38.95068,-77.02036,6,2,3,4,$125.00 ,,$125.00 ,3,1125,7,Entire home/apt
100%,N/A,1,Washington,DC,20015,38.96014,-77.08229,2,1,1,1,$84.00 ,$0.00 ,$30.00 ,2,183,122,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90041,-76.97528,6,2,3,3,$120.00 ,$250.00 ,$100.00 ,2,31,54,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.91052,-77.02296,3,1,1,2,$110.00 ,,$40.00 ,2,1125,195,Private room
N/A,N/A,3,Washington,DC,20001,38.91835,-77.0136,2,1.5,1,1,$64.00 ,$350.00 ,$30.00 ,1,1125,1,Private room
N/A,N/A,1,Washington,DC,20009,38.92479,-77.04241,3,1,1,1,$70.00 ,,$20.00 ,2,1125,12,Entire home/apt
100%,N/A,4,Washington,DC,20037,38.90112,-77.05221,4,1,1,2,$400.00 ,,,3,365,99,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92401,-77.04376,2,1,1,1,$99.00 ,,,2,1124,27,Private room
86%,N/A,2,Washington,DC,20011,38.94019,-77.01847,2,1,1,1,$65.00 ,$0.00 ,$20.00 ,2,30,139,Private room
100%,N/A,3,Washington,DC,20007,38.91846,-77.09479,13,4.5,6,11,$750.00 ,$500.00 ,$200.00 ,7,1125,4,Entire home/apt
90%,N/A,5,Washington,DC,20002,38.91138,-77.00646,4,1,1,2,$150.00 ,$0.00 ,$80.00 ,3,1125,27,Entire home/apt
100%,N/A,3,Washington,DC,20009,38.91247,-77.03732,3,1,1,1,$144.00 ,,$59.00 ,3,90,412,Entire home/apt
100%,N/A,8,Washington,DC,20020,38.85081,-76.98011,2,1,1,1,$65.00 ,$0.00 ,$50.00 ,1,1125,16,Private room
71%,N/A,1,Washington,DC,20002,38.91706,-77.00729,2,1,1,1,$89.00 ,,$10.00 ,3,30,155,Private room
N/A,N/A,1,Washington,DC,20001,38.92819,-77.02253,2,1,1,1,$54.00 ,$500.00 ,$65.00 ,1,1125,125,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.92826,-77.0344,2,1,1,0,$100.00 ,$0.00 ,$10.00 ,1,7,79,Private room
100%,N/A,1,Washington,DC,20010,38.93654,-77.03087,5,2,2,2,$99.00 ,$300.00 ,$95.00 ,2,60,277,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.90666,-77.02705,3,1,1,2,$135.00 ,$350.00 ,$50.00 ,3,25,25,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.91164,-77.02219,9,3,3,5,$274.00 ,$0.00 ,$80.00 ,2,1125,23,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.90812,-77.06399,3,1,1,2,$145.00 ,,$75.00 ,3,365,134,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88213,-77.00152,6,1,1,3,$175.00 ,$300.00 ,$75.00 ,1,1125,59,Entire home/apt
60%,N/A,0,Washington,DC,20003,38.8829,-76.97822,2,1,1,1,$90.00 ,,$10.00 ,1,1125,26,Private room
100%,N/A,23,Washington,DC,20009,38.91469,-77.03965,1,2.5,1,1,$80.00 ,$0.00 ,$70.00 ,4,365,15,Private room
N/A,N/A,1,Washington,DC,20009,38.91521,-77.03839,1,1.5,1,1,$74.00 ,$0.00 ,$0.00 ,4,1125,14,Private room
100%,N/A,1,Washington,DC,20003,38.8853,-77.00099,6,1,1,3,$140.00 ,,$30.00 ,2,29,268,Entire home/apt
100%,N/A,2,"Washington, D.C.",DC,20024,38.88074,-77.01927,4,1,1,2,$215.00 ,$200.00 ,$175.00 ,1,1125,6,Entire home/apt
100%,N/A,2,Washington,DC,20036,38.91141,-77.03522,3,1,1,1,$99.00 ,$100.00 ,$109.00 ,4,90,34,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.91536,-77.04295,4,1,1,1,$141.00 ,$250.00 ,$81.00 ,2,1125,175,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93408,-77.03037,2,1,1,1,$90.00 ,$0.00 ,$50.00 ,4,20,8,Entire home/apt
0%,N/A,1,Washington,DC,20011,38.9398,-77.02351,1,1,1,1,$45.00 ,$0.00 ,$0.00 ,30,1125,6,Private room
N/A,N/A,1,Washington,DC,20009,38.92127,-77.04475,2,1,0,1,$500.00 ,,$80.00 ,3,1125,4,Entire home/apt
100%,N/A,1,Washington,DC,20005,38.90976,-77.02951,2,1,0,1,$110.00 ,$0.00 ,$50.00 ,3,30,423,Private room
N/A,N/A,3,Washington,DC,20008,38.92629,-77.05435,2,1,1,1,$230.00 ,,,2,7,18,Private room
100%,N/A,17,Washington,DC,20007,38.90351,-77.05744,4,1,1,2,$175.00 ,,,2,1125,78,Entire home/apt
100%,N/A,2,Washington,DC,20009,38.92732,-77.03077,6,2,2,2,$155.00 ,$250.00 ,$115.00 ,2,1125,305,Entire home/apt
100%,N/A,23,Washington,DC,20009,38.91535,-77.04112,1,2.5,1,1,$80.00 ,,$70.00 ,1,1000,16,Private room
N/A,N/A,1,Washington,DC,20018,38.93723,-76.97473,8,2.5,3,4,$220.00 ,,$40.00 ,1,1125,6,Entire home/apt
100%,N/A,9,Washington,DC,20003,38.88577,-76.98932,2,1,1,1,$80.00 ,$0.00 ,$49.00 ,2,1125,101,Private room
100%,N/A,8,Washington,DC,20007,38.91391,-77.07217,6,2,3,3,$854.00 ,"$5,000.00 ",$200.00 ,28,364,1,Entire home/apt
100%,N/A,3,Washington,DC,20010,38.9361,-77.04174,2,1,1,1,$85.00 ,,$95.00 ,1,1125,136,Entire home/apt
100%,N/A,10,Washington,DC,20037,38.90426,-77.04968,2,1,0,1,$150.00 ,$0.00 ,$50.00 ,1,1124,316,Entire home/apt
100%,N/A,6,Washington,DC,20005,38.90241,-77.02634,1,1,1,1,$79.00 ,$0.00 ,$35.00 ,2,365,138,Private room
N/A,N/A,1,Washington,DC,20009,38.92131,-77.02813,4,1,1,1,$141.00 ,$300.00 ,$100.00 ,1,1125,21,Entire home/apt
100%,N/A,17,Washington,DC,20007,38.90512,-77.05761,2,1,0,1,$185.00 ,,,2,1125,109,Hotel room
100%,N/A,2,Washington,DC,20010,38.92834,-77.02424,1,1,1,1,$103.00 ,$0.00 ,$55.00 ,4,1125,36,Private room
98%,N/A,440,Washington,DC,20005,38.89936,-77.03401,3,1,1,2,$215.00 ,,$100.00 ,3,1125,8,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.9403,-77.03401,4,1,2,2,$185.00 ,,$45.00 ,2,1125,9,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93095,-77.04193,1,1,1,1,$250.00 ,$0.00 ,$0.00 ,1,1125,0,Private room
100%,N/A,3,Washington,DC,20036,38.907,-77.04491,2,1,1,1,$95.00 ,$500.00 ,$150.00 ,360,360,51,Entire home/apt
N/A,N/A,2,Washington,DC,20011,38.94733,-77.02486,6,2.5,3,3,$225.00 ,$250.00 ,$60.00 ,2,1125,57,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.8983,-76.98468,4,2.5,2,2,$95.00 ,$250.00 ,$50.00 ,3,28,1,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.90565,-77.06463,6,2,2,2,$180.00 ,$500.00 ,,60,70,1,Entire home/apt
100%,N/A,3,Washington,DC,20008,38.91119,-77.04964,4,1.5,2,1,$150.00 ,$300.00 ,$125.00 ,1,10,5,Private room
100%,N/A,2,Washington,DC,20002,38.92257,-77.00184,4,1,2,3,$89.00 ,$0.00 ,$0.00 ,2,180,115,Entire home/apt
92%,N/A,2,Washington,DC,20011,38.96462,-77.03195,3,1,0,4,$65.00 ,"$1,000.00 ",$80.00 ,4,1125,50,Entire home/apt
50%,N/A,1,Washington,DC,20011,38.94289,-77.03485,1,1,1,1,$60.00 ,,,1,1125,97,Private room
80%,N/A,2,Washington,DC,20003,38.88647,-76.99423,1,1,1,1,$85.00 ,$100.00 ,,1,1125,108,Private room
N/A,N/A,1,Washington,DC,20001,38.91461,-77.02512,2,1,1,1,$84.00 ,,$25.00 ,1,3,2,Private room
N/A,N/A,1,Washington,DC,20001,38.91503,-77.0238,2,1.5,1,1,$90.00 ,,,1,1125,0,Private room
100%,N/A,2,Washington,DC,20003,38.88711,-76.98685,4,1,1,2,$125.00 ,,$75.00 ,2,120,34,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92531,-77.04465,1,1,1,1,$60.00 ,$200.00 ,$45.00 ,3,60,11,Private room
N/A,N/A,1,Washington,DC,20003,38.8829,-76.99679,7,2,3,5,$209.00 ,$500.00 ,$125.00 ,2,28,5,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.9244,-77.0434,4,1,1,1,$125.00 ,,$35.00 ,2,1125,12,Entire home/apt
N/A,N/A,4,Washington,DC,20002,38.90208,-76.99056,2,1,1,1,$40.00 ,$250.00 ,$40.00 ,2,1125,2,Private room
100%,N/A,3,Washington,DC,20011,38.95047,-77.03337,16,10.5,10,10,"$1,350.00 ","$1,500.00 ",$550.00 ,3,1125,23,Entire home/apt
90%,N/A,2,Washington,DC,20003,38.88508,-76.99443,10,2.5,3,4,$375.00 ,$750.00 ,$195.00 ,2,89,79,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.91644,-77.01186,4,1,1,1,$150.00 ,$200.00 ,$110.00 ,2,1125,25,Entire home/apt
90%,N/A,1,Washington,DC,20018,38.92446,-76.98202,2,1,1,1,$125.00 ,$108.00 ,$50.00 ,2,30,42,Entire home/apt
N/A,N/A,2,Washington,DC,20009,38.91507,-77.03814,1,2,1,1,$100.00 ,,,2,1125,12,Private room
95%,N/A,5,Washington,DC,20008,38.92548,-77.05154,9,2.5,4,5,$400.00 ,$300.00 ,$220.00 ,2,1125,179,Entire home/apt
N/A,N/A,2,Washington,DC,20009,38.92377,-77.04424,5,1.5,2,3,$214.00 ,$200.00 ,$30.00 ,2,28,43,Entire home/apt
100%,N/A,3,Washington,DC,20002,38.90185,-77.00315,4,1,1,2,$120.00 ,$0.00 ,$45.00 ,1,60,346,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.9206,-77.02766,4,1.5,2,2,$140.00 ,$0.00 ,$60.00 ,1,1125,99,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89865,-77.00178,4,1,1,2,$165.00 ,$200.00 ,$65.00 ,2,1125,233,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.92775,-77.03989,3,1,1,1,$85.00 ,$100.00 ,,3,1125,14,Entire home/apt
